tmp,ewg_id,PFA,Location detected,Maximum Level (ppt)Years tested,Years tested,Maximum Level (ppt)*
,281,PFOA,GroundwaterOn-base,"16,0002018",NA,NA
,281,PFOS,GroundwaterOn-base,"58,0002018",NA,NA
,281,PFOS+PFOA,GroundwaterOn-base,"74,0002018",NA,NA
,282,PFOS,NA,NA,2017,5.5
,282,PFNA,NA,NA,2017,0.8
,282,PFDA,NA,NA,2017,0.4
,282,PFDoA,NA,NA,2017,0.7
,282,PFTA,NA,NA,2017,0.6
,282,PFTrDA,NA,NA,2017,0.5
,282,PFUnA,NA,NA,2017,9.1
,282,Total PFAS,NA,NA,2017,11.5
,283,6:2 FTS,GroundwaterOn-base,"185,0002018",NA,NA
,283,PFOS+PFOA,GroundwaterOn-base,"109,8302018",NA,NA
,283,PFOS,GroundwaterOn-base,"108,0002018",NA,NA
,283,PFHxS,GroundwaterOn-base,"65,4002018",NA,NA
,283,PFHxA,GroundwaterOn-base,"32,4002018",NA,NA
,283,PFOA,GroundwaterOn-base,"16,0002018",NA,NA
,283,PFBS,GroundwaterOn-base,"9,2502018",NA,NA
,283,8:2 FTS,GroundwaterOn-base,"7,0402018",NA,NA
,283,PFHpA,GroundwaterOn-base,"6,4802018",NA,NA
